,number,value,datetime_start,datetime_complete,params_learning_rate,params_max_depth,params_n_estimators,state
136,136,0.931023591843687,2020-06-21 04:34:49.364390,2020-06-21 04:57:38.416452,0.10141194550265983,14,88,COMPLETE
137,137,0.9329632120431588,2020-06-21 04:57:38.426803,2020-06-21 05:20:33.394345,0.19146657725647975,15,83,COMPLETE
138,138,0.9340020622032984,2020-06-21 05:20:33.405356,2020-06-21 05:44:56.303406,0.12693907843069527,14,95,COMPLETE
139,139,0.9307948036934718,2020-06-21 05:44:56.313341,2020-06-21 05:59:35.262733,0.181731183845807,13,61,COMPLETE
140,140,0.9324783013456882,2020-06-21 05:59:35.272656,2020-06-21 06:19:38.795587,0.18874198136955678,14,78,COMPLETE
141,141,0.9347338484398799,2020-06-21 06:19:38.820007,2020-06-21 06:48:23.327898,0.17653627234481112,16,97,COMPLETE
142,142,0.9349914920747944,2020-06-21 06:48:23.340693,2020-06-21 07:11:13.503546,0.1730363975104295,14,89,COMPLETE
143,143,0.9329330237242234,2020-06-21 07:11:13.513720,2020-06-21 07:29:09.855364,0.18007457927472945,10,99,COMPLETE
144,144,0.9349048201987792,2020-06-21 07:29:09.865916,2020-06-21 07:55:05.031380,0.1595857896314472,15,94,COMPLETE
145,145,0.9344502258325715,2020-06-21 07:55:05.042413,2020-06-21 08:16:50.268536,0.1844614711746671,13,92,COMPLETE
146,146,0.9266164210750161,2020-06-21 08:16:50.279945,2020-06-21 08:38:52.417090,0.06196216480219362,14,84,COMPLETE
147,147,0.9337350887287329,2020-06-21 08:38:52.427630,2020-06-21 08:59:39.465531,0.1927830885687856,14,81,COMPLETE
148,148,0.9335267750208189,2020-06-21 08:59:39.476002,2020-06-21 09:28:45.775875,0.1870501913320049,18,86,COMPLETE
149,149,0.9363448760543227,2020-06-21 09:28:45.786903,2020-06-21 09:53:46.461640,0.19763264455921098,15,91,COMPLETE
150,150,0.9336880705537685,2020-06-21 09:53:46.473443,2020-06-21 10:18:18.431760,0.19937380105806418,15,89,COMPLETE
151,151,0.9332108330658251,2020-06-21 10:18:18.442499,2020-06-21 10:44:42.136535,0.1958203500479896,15,96,COMPLETE
152,152,0.9328995522655885,2020-06-21 10:44:42.147395,2020-06-21 11:09:59.265143,0.197921882664625,15,92,COMPLETE
153,153,0.9339371599531354,2020-06-21 11:09:59.315341,2020-06-21 11:35:58.749248,0.19082984777819267,16,88,COMPLETE
154,154,0.9350602949358852,2020-06-21 11:35:58.762079,2020-06-21 11:59:10.954822,0.19999806297086684,14,91,COMPLETE
155,155,0.9344021534384372,2020-06-21 11:59:10.965890,2020-06-21 12:26:03.025281,0.18292777900930943,15,98,COMPLETE
156,156,0.9352647833342408,2020-06-21 12:26:03.036502,2020-06-21 12:50:08.247646,0.16992189681472142,14,94,COMPLETE
157,157,0.9345676658480656,2020-06-21 12:50:08.258988,2020-06-21 13:10:31.190019,0.19471318239041097,13,86,COMPLETE
158,158,0.9325461554095261,2020-06-21 13:10:31.201769,2020-06-21 13:37:08.806453,0.17906767873114823,16,90,COMPLETE
159,159,0.9345625980659144,2020-06-21 13:37:08.818446,2020-06-21 13:58:17.709055,0.1644412718951868,14,82,COMPLETE
160,160,0.9361358771039485,2020-06-21 13:58:17.720976,2020-06-21 14:25:51.360667,0.1754218086993727,15,100,COMPLETE
161,161,0.9350046773445513,2020-06-21 14:25:51.372099,2020-06-21 14:53:20.474329,0.1737663179672343,15,100,COMPLETE
162,162,0.9354470427683916,2020-06-21 14:53:20.485615,2020-06-21 15:20:52.062718,0.17681692528443776,15,100,COMPLETE
163,163,0.9352838647012106,2020-06-21 15:20:52.074223,2020-06-21 15:47:31.370732,0.12060171681265641,15,96,COMPLETE
164,164,0.9338530709140855,2020-06-21 15:47:31.382395,2020-06-21 16:10:04.397209,0.18722458434510378,14,88,COMPLETE
165,165,0.9342675748313004,2020-06-21 16:10:04.429598,2020-06-21 16:26:54.393564,0.1669066907154251,11,84,COMPLETE
166,166,0.9336088685735835,2020-06-21 16:26:54.405280,2020-06-21 16:53:51.608153,0.1815294466300769,15,98,COMPLETE
167,167,0.933083362907946,2020-06-21 16:53:51.621322,2020-06-21 17:17:34.880974,0.19119556295774973,14,93,COMPLETE
168,168,0.9328040249485484,2020-06-21 17:17:34.892904,2020-06-21 17:37:22.848749,0.1725888308867911,12,91,COMPLETE
169,169,0.9337299230548017,2020-06-21 17:37:22.860775,2020-06-21 18:01:25.227136,0.1850723370591677,15,87,COMPLETE
170,170,0.933581842912157,2020-06-21 18:01:25.239084,2020-06-21 18:23:12.618686,0.17892302960299503,14,85,COMPLETE
171,171,0.9338784926563468,2020-06-21 18:23:12.631011,2020-06-21 18:44:29.069800,0.195124511958912,13,90,COMPLETE
172,172,0.934458599344833,2020-06-21 18:44:29.082721,2020-06-21 19:05:33.859185,0.19682933953884774,13,89,COMPLETE
