,number,value,datetime_start,datetime_complete,params_learning_rate,params_max_depth,params_n_estimators,state
149,149,0.9442197306861715,2020-06-21 07:06:20.448620,2020-06-21 07:29:53.926679,0.17922999317942406,15,93,COMPLETE
150,150,0.9417361926980565,2020-06-21 07:29:53.937399,2020-06-21 07:51:06.740226,0.18488971366925935,14,90,COMPLETE
151,151,0.9412599174786853,2020-06-21 07:51:06.751070,2020-06-21 08:14:39.598943,0.17874394160139848,15,93,COMPLETE
152,152,0.9404461724759601,2020-06-21 08:14:39.610387,2020-06-21 08:38:57.158393,0.1734680713085352,15,96,COMPLETE
153,153,0.9419299504708558,2020-06-21 08:38:57.169284,2020-06-21 09:03:01.574778,0.16763480817628099,15,95,COMPLETE
154,154,0.9435946421763696,2020-06-21 09:03:01.585584,2020-06-21 09:26:19.792694,0.18139883287591252,15,92,COMPLETE
155,155,0.9412888052607826,2020-06-21 09:26:19.803563,2020-06-21 09:48:49.809302,0.18275404599523512,15,89,COMPLETE
156,156,0.9423905259497435,2020-06-21 09:48:49.820269,2020-06-21 10:12:06.480563,0.17889018423933448,15,92,COMPLETE
157,157,0.9421357669943038,2020-06-21 10:12:06.492641,2020-06-21 10:36:08.439845,0.17383452120472295,16,88,COMPLETE
158,158,0.9427936633536904,2020-06-21 10:36:08.451703,2020-06-21 11:00:53.716573,0.18085829071982973,15,98,COMPLETE
159,159,0.9413294727158761,2020-06-21 11:00:53.776718,2020-06-21 11:26:17.593082,0.18641189123605567,15,100,COMPLETE
160,160,0.9408200846085559,2020-06-21 11:26:17.604877,2020-06-21 11:47:43.557023,0.1764342811706456,14,91,COMPLETE
161,161,0.9428051574588565,2020-06-21 11:47:43.570385,2020-06-21 12:11:36.270823,0.16542773304051564,15,94,COMPLETE
162,162,0.9420444501904154,2020-06-21 12:11:36.283690,2020-06-21 12:36:15.305003,0.17007619182470926,15,97,COMPLETE
163,163,0.9432753124404121,2020-06-21 12:36:15.317021,2020-06-21 13:00:10.077479,0.16058167659832787,15,94,COMPLETE
164,164,0.9436977126925425,2020-06-21 13:00:10.088820,2020-06-21 13:26:23.275582,0.16392358443609814,16,96,COMPLETE
165,165,0.9408969997075525,2020-06-21 13:26:23.287129,2020-06-21 13:54:23.217617,0.16401632501089375,17,96,COMPLETE
166,166,0.9451590281815211,2020-06-21 13:54:23.229714,2020-06-21 14:20:59.486733,0.1713299658327382,16,98,COMPLETE
167,167,0.9433749301819105,2020-06-21 14:20:59.498430,2020-06-21 14:49:46.961760,0.16860123208600986,17,99,COMPLETE
168,168,0.942420958394195,2020-06-21 14:49:46.973607,2020-06-21 15:16:54.900130,0.17117051937719405,16,100,COMPLETE
169,169,0.9414188878976223,2020-06-21 15:16:54.912749,2020-06-21 15:43:55.242730,0.08570438888344493,16,97,COMPLETE
170,170,0.9424218280780415,2020-06-21 15:43:55.255501,2020-06-21 16:10:36.470494,0.16612033852028685,16,98,COMPLETE
171,171,0.9408533467705977,2020-06-21 16:10:36.491245,2020-06-21 16:35:54.871653,0.17441931666954674,16,93,COMPLETE
172,172,0.9431049842100461,2020-06-21 16:35:57.163252,2020-06-21 17:00:07.832682,0.17150787340274742,15,95,COMPLETE
173,173,0.9428250174034123,2020-06-21 17:00:07.844742,2020-06-21 17:23:25.899036,0.17655925400738529,15,92,COMPLETE
174,174,0.9410453911364158,2020-06-21 17:23:25.911215,2020-06-21 17:47:45.826759,0.16206263211285943,15,96,COMPLETE
175,175,0.9142855826278184,2020-06-21 17:47:45.839710,2020-06-21 17:50:55.959329,0.16736976541047388,16,10,COMPLETE
176,176,0.9431435877885486,2020-06-21 17:50:55.972286,2020-06-21 18:16:15.665235,0.15720846704149807,15,100,COMPLETE
177,177,0.9425257488075272,2020-06-21 18:16:15.677398,2020-06-21 18:39:11.457263,0.17957890618845584,14,98,COMPLETE
178,178,0.9423801157042966,2020-06-21 18:39:11.469579,2020-06-21 19:02:04.506421,0.1644366842226737,15,90,COMPLETE
179,179,0.9419466691692794,2020-06-21 19:02:04.518984,2020-06-21 19:23:59.063577,0.169863693369089,14,93,COMPLETE
180,180,0.9429849613490433,2020-06-21 19:23:59.076517,2020-06-21 19:48:04.246181,0.17431700384287732,15,95,COMPLETE
181,181,0.9425374830492779,2020-06-21 19:48:04.258952,2020-06-21 20:11:58.813018,0.160473328685483,15,94,COMPLETE
182,182,0.9423198673822997,2020-06-21 20:11:58.825906,2020-06-21 20:35:08.037584,0.15527876845375246,15,91,COMPLETE
183,183,0.9425090301091037,2020-06-21 20:35:08.050656,2020-06-21 20:59:30.117554,0.15881027361726888,15,96,COMPLETE
184,184,0.9425659165189177,2020-06-21 20:59:30.139942,2020-06-21 21:24:19.122555,0.16711491758194966,15,98,COMPLETE
185,185,0.9424480743577093,2020-06-21 21:24:19.135542,2020-06-21 21:49:46.466396,0.18351622127842918,16,93,COMPLETE
186,186,0.9447265811339094,2020-06-21 21:49:46.481505,2020-06-21 22:14:20.548583,0.1627576670358999,15,97,COMPLETE
187,187,0.9449106296004816,2020-06-21 22:14:20.562653,2020-06-21 22:39:40.068421,0.1633747678533606,15,100,COMPLETE
188,188,0.9234260182667355,2020-06-21 22:39:40.082932,2020-06-21 22:44:40.058611,0.16287716382826556,15,18,COMPLETE
189,189,0.9356753075597982,2020-06-21 22:44:40.073325,2020-06-21 23:08:44.002624,0.05761821984586163,14,100,COMPLETE
190,190,0.943288429090068,2020-06-21 23:08:44.016622,2020-06-21 23:35:57.927680,0.1655182387362703,16,100,COMPLETE
191,191,0.941701093815652,2020-06-21 23:35:57.940968,2020-06-22 00:00:27.389465,0.17162610079231103,15,97,COMPLETE
192,192,0.942214376029748,2020-06-22 00:00:27.402825,2020-06-22 00:25:16.495247,0.1626292733849119,15,98,COMPLETE
193,193,0.9419770432021292,2020-06-22 00:25:16.508707,2020-06-22 00:49:19.324252,0.16828294287775258,15,95,COMPLETE
194,194,0.9418822476628546,2020-06-22 00:49:19.339574,2020-06-22 01:13:39.522122,0.1767359664297709,15,96,COMPLETE
195,195,0.9423516887248343,2020-06-22 01:13:39.535867,2020-06-22 01:38:47.669112,0.15869856163084597,15,99,COMPLETE
196,196,0.9439672822340853,2020-06-22 01:38:47.683767,2020-06-22 02:02:07.004854,0.1693026303116532,15,92,COMPLETE
197,197,0.9433301804048806,2020-06-22 02:02:07.026134,2020-06-22 02:26:40.446752,0.1692035022936836,15,97,COMPLETE
198,198,0.9399799700127819,2020-06-22 02:26:40.461664,2020-06-22 02:50:47.593280,0.16436214138698,15,95,COMPLETE
199,199,0.9432348591611912,2020-06-22 02:50:47.609820,2020-06-22 03:14:10.234019,0.1726189466609877,14,100,COMPLETE
